#Resonance Frequency: 570500.000 Hz
#Set Current: 6.57 A
Time [s]	Current [A]	Voltage [V]	T0 [degC]	T1 [degC]	T2 [degC]	State
191.006007	0.000	0.000	20.7	327.6	327.6	WAIT
192.000168	0.001	0.000	20.7	327.6	327.6	WAIT
193.000129	0.000	0.000	20.6	327.6	327.6	WAIT
194.000532	0.001	0.000	20.6	327.6	327.6	WAIT
195.000792	0.000	0.000	20.6	327.6	327.6	WAIT
196.000078	0.000	0.000	20.6	327.6	327.6	WAIT
197.000108	0.000	0.000	20.6	327.6	327.6	WAIT
198.000141	0.000	0.000	20.6	327.6	327.6	WAIT
199.000507	0.000	0.000	20.5	327.6	327.6	WAIT
200.000166	0.000	0.000	20.5	327.6	327.6	WAIT
201.000232	0.000	0.000	20.5	327.6	327.6	WAIT
202.000149	0.000	0.000	20.5	327.6	327.6	WAIT
203.000101	0.000	0.000	20.5	327.6	327.6	WAIT
204.000240	0.001	0.000	20.5	327.6	327.6	WAIT
205.000877	0.000	0.000	20.5	327.6	327.6	WAIT
206.000325	0.000	0.000	20.5	327.6	327.6	WAIT
207.000169	0.000	0.000	20.4	327.6	327.6	WAIT
208.000094	0.000	0.000	20.4	327.6	327.6	WAIT
209.000070	0.000	0.000	20.4	327.6	327.6	WAIT
210.000504	0.000	0.000	20.4	327.6	327.6	WAIT
211.000170	0.000	0.000	20.4	327.6	327.6	WAIT
212.000129	0.000	0.000	20.4	327.6	327.6	WAIT
213.000142	0.000	0.000	20.4	327.6	327.6	WAIT
214.000118	0.000	0.000	20.3	327.6	327.6	WAIT
215.000424	0.000	0.000	20.3	327.6	327.6	WAIT
216.000288	0.000	0.000	20.3	327.6	327.6	WAIT
217.004363	0.000	0.000	20.3	327.6	327.6	WAIT
218.000483	0.000	0.000	20.3	327.6	327.6	WAIT
219.000298	0.000	0.000	20.3	327.6	327.6	WAIT
220.000450	0.000	0.000	20.3	327.6	327.6	WAIT
221.001796	0.000	0.000	20.3	327.6	327.6	WAIT
222.000167	0.000	0.000	20.3	327.6	327.6	WAIT
223.000226	0.000	0.000	20.2	327.6	327.6	WAIT
224.000145	0.000	0.000	20.2	327.6	327.6	WAIT
225.000137	0.000	0.000	20.2	327.6	327.6	WAIT
226.000143	0.000	0.000	20.2	327.6	327.6	WAIT
227.019818	0.000	0.000	20.2	327.6	327.6	WAIT
228.000373	0.000	0.000	20.2	327.6	327.6	WAIT
229.000405	0.000	0.000	20.2	327.6	327.6	WAIT
230.000101	0.000	0.000	20.2	327.6	327.6	WAIT
231.000248	0.000	0.000	20.2	327.6	327.6	WAIT
232.000271	0.000	0.000	20.1	327.6	327.6	WAIT
233.000252	0.000	0.000	20.1	327.6	327.6	WAIT
234.000100	0.000	0.000	20.1	327.6	327.6	WAIT
235.000178	0.000	0.000	20.1	327.6	327.6	WAIT
236.000369	0.000	0.000	20.1	327.6	327.6	WAIT
237.000067	0.000	0.000	20.1	327.6	327.6	WAIT
238.000106	0.000	0.000	20.1	327.6	327.6	WAIT
239.000293	0.000	0.000	20.1	327.6	327.6	WAIT
240.000195	0.000	0.000	20.1	327.6	327.6	WAIT
241.001047	0.000	0.000	20.1	327.6	327.6	WAIT
242.000310	0.000	0.000	20.1	327.6	327.6	WAIT
243.000084	0.000	0.000	20.0	327.6	327.6	WAIT
244.000096	0.000	0.000	20.0	327.6	327.6	WAIT
245.000392	0.001	0.000	20.0	327.6	327.6	WAIT
246.000448	0.000	0.000	20.0	327.6	327.6	WAIT
247.019188	0.000	0.000	20.0	327.6	327.6	WAIT
248.000178	0.000	0.000	20.0	327.6	327.6	WAIT
249.006378	0.000	0.000	20.0	327.6	327.6	WAIT
250.000231	0.000	0.000	20.0	327.6	327.6	WAIT
251.000474	0.001	0.000	20.0	327.6	327.6	WAIT
252.000393	0.000	0.000	20.0	327.6	327.6	WAIT
253.000053	0.000	0.000	20.0	327.6	327.6	WAIT
254.000103	0.000	0.000	20.0	327.6	327.6	WAIT
255.003200	0.000	0.000	19.9	327.6	327.6	WAIT
256.000406	0.000	0.000	19.9	327.6	327.6	WAIT
257.000577	0.000	0.000	19.9	327.6	327.6	WAIT
258.000368	0.000	0.000	19.9	327.6	327.6	WAIT
259.000850	0.000	0.000	19.9	327.6	327.6	WAIT
260.000304	0.000	0.000	19.9	327.6	327.6	WAIT
261.003427	0.000	0.000	19.9	327.6	327.6	WAIT
262.000095	0.000	0.000	19.9	327.6	327.6	WAIT
263.000208	0.000	0.000	19.9	327.6	327.6	WAIT
264.039723	0.000	0.000	19.9	327.6	327.6	WAIT
265.007687	0.000	0.000	19.9	327.6	327.6	WAIT
266.000392	0.000	0.000	19.9	327.6	327.6	WAIT
267.000061	0.000	0.000	19.9	327.6	327.6	WAIT
268.000145	0.000	0.000	19.9	327.6	327.6	WAIT
269.041286	0.000	0.000	19.9	327.6	327.6	WAIT
270.000029	0.000	0.000	19.9	327.6	327.6	WAIT
271.000279	0.000	0.000	19.8	327.6	327.6	WAIT
